audio_id,sentence_id,audio_path,ref,ref_lang,matrix_lang,language_pair,domain,category,is_emergency,accent,country,device_type,noise_condition,snr_db,speaker_id,duration_s,gloss_en
ig_16,ig_16,audio/ig_16.wav,"Anya na-atụ m gburugburu, I am feeling dizzy and faint.",ig ig ig ig en en en en en en,ig,ig-en,health,Dizziness,no,,NG,,quiet,30.1,,2.94,"My eyes are spinning/I am dizzy, I am feeling dizzy and faint."
ig_17,ig_17,audio/ig_17.wav,"Eze na-egbu m, the toothache is giving me a serious headache.",ig ig ig en en en ig en en en ig,ig,ig-en,health,Toothache,no,,NG,,quiet,40.3,,2.35,"My tooth is hurting me, the toothache is giving me a serious headache."
ig_18,ig_18,audio/ig_18.wav,"Ihe na-akọ m n'ahụ, these rashes are spreading everywhere.",ig ig ig ig en en en ig ig,ig,ig-en,health,Skin rash,no,,NG,,quiet,41.8,,2.84,"Something is scratching my body, these rashes are spreading everywhere."
ig_19,ig_19,audio/ig_19.wav,"Akpịrị na-egbu m, I cannot even swallow ordinary water.",ig ig ig en en en en ig en,ig,ig-en,health,Sore throat,no,,NG,,quiet,29.3,,1.49,"My throat is aching me, I cannot even swallow ordinary water."
ig_20,ig_20,audio/ig_20.wav,"Ike gwụrụ m kpamkpam, I have no energy at all today.",ig ig ig ig en en en ig en en en,ig,ig-en,health,Fatigue,no,,NG,,quiet,39.0,,2.07,"I am completely tired, I have no energy at all today."
ig_21,ig_21,audio/ig_21.wav,"Aṅụrụ m ọgwụ malaria n'ụtụtụ, but the symptoms are still there.",ig ig ig en ig en en en en en en,ig,ig-en,health,Medication history,no,,NG,,quiet,42.8,,6.95,"I drank malaria medicine in the morning, but the symptoms are still there."
ig_22,ig_22,audio/ig_22.wav,"Ntị na-egbu m, there's a sharp pain deep inside my ear.",ig ig ig ig en en en en en en en,ig,ig-en,health,Ear pain,no,,NG,,quiet,36.5,,1.71,"My ear is hurting me, there's a sharp pain deep inside my ear."
ig_23,ig_23,audio/ig_23.wav,"E merụrụ m ahụ n'ụkwụ, it's a deep cut from a glass.",ig ig ig ig ig en en en en en en ig,ig,ig-en,health,Minor injury,no,,NG,,quiet,20.9,,1.83,"I injured my leg, it's a deep cut from a glass."
ig_24,ig_24,audio/ig_24.wav,"Ihe a malitere kemgbe three days ago, echeere m na ọ ga-ala.",ig en ig ig en en ig ig ig ig ig ig,ig,ig-en,health,Duration,no,,NG,,quiet,41.4,,7.04,"This thing started since three days ago, I thought it would go away."
ig_25,ig_25,audio/ig_25.wav,"Ha sị na m nwere typhoid, a na m enwekwa stomach upset every time.",ig ig ig ig ig en en ig ig ig en ig ig ig,ig,ig-en,health,Typhoid,no,,NG,,quiet,43.7,,7.70,"They said that I have typhoid, I am also having stomach upset every time."
ha_01,ha_01,audio/ha_01.wav,"Ina jin jiki, my body is very hot like it's malaria.",ha ha ha en en en en en en en en,ha,ha-en,health,Malaria/Fever,no,,NG,,quiet,27.2,,5.64,"I am feeling unwell, my body is very hot like it's malaria."
ha_02,ha_02,audio/ha_02.wav,"Ina da severe ciwon kai, it's throbbing on the left side.",ha ha en ha ha en en en en en ha,ha,ha-en,health,Headache/Migraine,no,,NG,,quiet,32.3,,2.21,"I have a severe headache, it's throbbing on the left side."
ha_03,ha_03,audio/ha_03.wav,"Ciki na yana ciwo, like a very sharp pain continuously.",ha ha ha ha en en en en en en,ha,ha-en,health,Stomach pain,no,,NG,,quiet,21.0,,2.37,"My stomach is aching, like a very sharp pain continuously."
ha_04,ha_04,audio/ha_04.wav,"Ina ta zawo tun jiya, I have gone to the toilet like five times today.",ha ha ha ha ha en en en en en en en ha ha en,ha,ha-en,health,Diarrhea,no,,NG,,quiet,25.5,,2.30,"I have been having diarrhea since yesterday, I have gone to the toilet like five times today."
ha_05,ha_05,audio/ha_05.wav,"Ina yin tari da mura, my chest is completely congested.",ha ha ha ha ha en en en en en,ha,ha-en,health,Cough/Catarrh,no,,NG,,quiet,25.8,,4.13,"I have a cough and cold, my chest is completely congested."
ha_06,ha_06,audio/ha_06.wav,"Kirji na yana ciwo sosai, the chest pain is too much to bear.",ha ha ha ha ha en en en en en en en ha,ha,ha-en,health,Chest pain,yes,,NG,,quiet,20.8,,2.93,"My chest is hurting a lot, the chest pain is too much to bear."
ha_07,ha_07,audio/ha_07.wav,"Jini yana zuba sosai, please we need to stop the bleeding fast.",ha ha ha ha en en en en en en en en,ha,ha-en,health,Bleeding,yes,,NG,,quiet,29.3,,2.18,"Blood is bleeding heavily, please we need to stop the bleeding fast."
ha_08,ha_08,audio/ha_08.wav,"Ina struggling inyi numfashi, I can't breathe well at all.",ha en ha ha en en en en en en,ha,ha-en,health,Breathing,yes,,NG,,quiet,24.7,,2.46,"I am struggling to breathe, I can't breathe well at all."
ha_09,ha_09,audio/ha_09.wav,"Ya fadi ya suma, he is completely unconscious!",ha ha ha ha en en en en,ha,ha-en,health,Loss of consciousness,yes,,NG,,quiet,27.2,,2.21,"He fell and fainted, he is completely unconscious!"
ha_10,ha_10,audio/ha_10.wav,"Gabbai na suna ciwo, I have serious joint pains all over.",ha ha ha ha en en en ha en en en,ha,ha-en,health,Joint pain,no,,NG,,quiet,25.9,,2.32,"My joints are hurting, I have serious joint pains all over."
ha_11,ha_11,audio/ha_11.wav,"Baya na yana ciwo, I can't even stand up straight.",ha ha ha ha en en en en en en,ha,ha-en,health,Back pain,no,,NG,,quiet,27.0,,2.44,"My back is aching, I can't even stand up straight."
ha_12,ha_12,audio/ha_12.wav,"Ina da ciki wata biyar, and I am feeling strange crampings.",ha ha ha ha ha en en en en en ha,ha,ha-en,health,Pregnancy,no,,NG,,quiet,25.8,,3.07,"I am five months pregnant, and I am feeling strange crampings."
ha_13,ha_13,audio/ha_13.wav,"Ido na yana kaikayi, it's very red and bringing out discharge.",ha ha ha ha en en en en ha en ha,ha,ha-en,health,Eye redness,no,,NG,,quiet,27.3,,2.28,"My eye is itchy, it's very red and bringing out discharge."
ha_14,ha_14,audio/ha_14.wav,"Yaron nan yana da high fever, jikin shi yayi zafi sosai.",ha ha ha ha en en ha ha ha ha ha,ha,ha-en,health,Pediatric fever,no,,NG,,quiet,21.0,,5.41,"This boy has a high fever, his body is very hot."
ha_15,ha_15,audio/ha_15.wav,"Ina jin zafi idan ina yin fitsari, like a bad burning sensation.",ha ha ha ha ha ha ha en en en en ha,ha,ha-en,health,Painful urination,no,,NG,,quiet,23.2,,2.90,"I feel pain when I am urinating, like a bad burning sensation."
ha_16,ha_16,audio/ha_16.wav,"Ina jin jiri, I feel dizzy like I am going to fall down.",ha ha ha en en en en en en en en ha en,ha,ha-en,health,Dizziness,no,,NG,,quiet,23.7,,2.44,"I am feeling dizzy, I feel dizzy like I am going to fall down."
ha_17,ha_17,audio/ha_17.wav,"Hakori na yana ciwo, the toothache is very bad.",ha ha ha ha en en en en en,ha,ha-en,health,Toothache,no,,NG,,quiet,24.8,,2.41,"My tooth is aching, the toothache is very bad."
ha_18,ha_18,audio/ha_18.wav,"Ina da rashes a jikina, it's itching me terribly.",ha ha en en ha en ha en en,ha,ha-en,health,Skin rash,no,,NG,,quiet,24.9,,3.13,"I have rashes on my body, it's itching me terribly."
ha_19,ha_19,audio/ha_19.wav,"Makogwaro na yana ciwo, I can't even swallow my food properly.",ha ha ha ha en en en en en ha ha,ha,ha-en,health,Sore throat,no,,NG,,quiet,25.4,,2.60,"My throat is hurting, I can't even swallow my food properly."
ha_20,ha_20,audio/ha_20.wav,"Bani da karfi sam, I just feel extreme fatigue.",ha ha ha ha en en en ha ha,ha,ha-en,health,Fatigue,no,,NG,,quiet,26.4,,2.62,"I have no strength at all, I just feel extreme fatigue."
ha_21,ha_21,audio/ha_21.wav,"Na sha Paracetamol da safe, but there is no improvement.",ha ha en ha ha en en en en ha,ha,ha-en,health,Medication history,no,,NG,,moderate,18.4,,3.92,"I took Paracetamol in the morning, but there is no improvement."
ha_22,ha_22,audio/ha_22.wav,"Cikin kunne na yana ciwo, it's very painful.",ha ha ha ha ha en en en,ha,ha-en,health,Ear pain,no,,NG,,quiet,25.5,,2.53,"Inside my ear is hurting, it's very painful."
ha_23,ha_23,audio/ha_23.wav,"Kafa ta ta karkace, I think it's a sprain.",ha ha ha ha en en en en en,ha,ha-en,health,Sprain,no,,NG,,moderate,18.6,,2.95,"My leg twisted, I think it's a sprain."
ha_24,ha_24,audio/ha_24.wav,"Wannan ciwon ya fara tun last week, it hasn't stopped.",ha ha ha ha ha en en en ha ha,ha,ha-en,health,Duration,no,,NG,,quiet,20.9,,5.18,"This illness started since last week, it hasn't stopped."
ha_25,ha_25,audio/ha_25.wav,"An ce ina da typhoid, but my stomach is still upsetting me.",en ha ha ha en en en en en en ha en,ha,ha-en,health,Typhoid,no,,NG,,quiet,20.6,,4.97,"They said I have typhoid, but my stomach is still upsetting me."
fr_01,fr_01,audio/fr_01.wav,J'ai une forte fièvre et des frissons depuis hier soir.,fr fr fr fr fr fr fr fr fr fr,fr,fr-monolingual,health,Fever/Malaria,no,,,,quiet,48.1,,3.66,I have a high fever and chills since last night.
fr_02,fr_02,audio/fr_02.wav,J'ai un mal de tête terrible qui ne passe pas.,fr fr fr fr fr fr fr fr fr fr,fr,fr-monolingual,health,Headache,no,,,,quiet,52.2,,3.26,I have a terrible headache that won't go away.
fr_03,fr_03,audio/fr_03.wav,"J'ai des douleurs au ventre, surtout après avoir mangé.",fr fr fr fr fr fr fr fr fr,fr,fr-monolingual,health,Stomachache,no,,,,quiet,57.3,,3.58,"I have stomach pains, especially after eating."
fr_04,fr_04,audio/fr_04.wav,J'ai la diarrhée et je me sens très déshydraté.,fr fr fr fr fr fr fr fr fr,fr,fr-monolingual,health,Diarrhea,no,,,,quiet,35.3,,2.98,I have diarrhea and I feel very dehydrated.
fr_05,fr_05,audio/fr_05.wav,Je n'arrête pas de vomir tout ce que je bois ou mange.,fr fr fr fr fr fr fr fr fr fr fr fr,fr,fr-monolingual,health,Vomiting,no,,,,quiet,82.6,,3.42,I keep vomiting everything I drink or eat.
fr_06,fr_06,audio/fr_06.wav,"Je tousse beaucoup, surtout la nuit, avec des crachats.",fr fr fr fr fr fr fr fr fr,fr,fr-monolingual,health,Cough,no,,,,quiet,61.1,,4.32,"I cough a lot, especially at night, with phlegm."
fr_07,fr_07,audio/fr_07.wav,J'ai le nez complètement bouché et je n'arrive pas à respirer par le nez.,fr fr fr fr fr fr fr fr fr fr fr fr fr fr,fr,fr-monolingual,health,Cold,no,,,,quiet,64.5,,5.46,My nose is completely blocked and I can't breathe through my nose.
fr_08,fr_08,audio/fr_08.wav,Je ressens une douleur aiguë dans la poitrine quand je respire profondément.,fr fr fr fr fr fr fr fr fr fr fr fr,fr,fr-monolingual,health,Chest pain,yes,,,,quiet,40.4,,4.76,I feel a sharp pain in my chest when I breathe deeply.
fr_09,fr_09,audio/fr_09.wav,"J'ai beaucoup de mal à respirer, c'est comme si je manquais d'air.",fr fr fr fr fr fr fr fr fr fr fr fr,fr,fr-monolingual,health,Breathing,yes,,,,quiet,47.6,,3.78,"I have a lot of trouble breathing, it's as if I'm running out of air."
fr_10,fr_10,audio/fr_10.wav,Je me suis coupé profondément et le saignement ne s'arrête pas.,fr fr fr fr fr fr fr fr fr fr fr,fr,fr-monolingual,health,Bleeding,yes,,,,quiet,56.0,,3.68,I cut myself deeply and the bleeding won't stop.
fr_11,fr_11,audio/fr_11.wav,"J'ai très mal aux articulations, surtout le matin au réveil.",fr fr fr fr fr fr fr fr fr fr,fr,fr-monolingual,health,Joint pain,no,,,,quiet,38.6,,4.78,"My joints hurt a lot, especially in the morning when waking up."
fr_12,fr_12,audio/fr_12.wav,J'ai une douleur intense et persistante dans le bas du dos.,fr fr fr fr fr fr fr fr fr fr fr,fr,fr-monolingual,health,Back pain,no,,,,quiet,58.9,,4.02,I have an intense and persistent pain in my lower back.
fr_13,fr_13,audio/fr_13.wav,Je suis enceinte de quatre mois et je ressens des crampes inhabituelles.,fr fr fr fr fr fr fr fr fr fr fr fr,fr,fr-monolingual,health,Pregnancy,no,,,,quiet,66.0,,5.44,I am four months pregnant and I feel unusual cramps.
fr_14,fr_14,audio/fr_14.wav,"Mon œil est très rouge, gonflé et me démange énormément.",fr fr fr fr fr fr fr fr fr fr,fr,fr-monolingual,health,Eye issue,no,,,,quiet,57.8,,3.82,"My eye is very red, swollen, and itches incredibly."
fr_15,fr_15,audio/fr_15.wav,"Mon enfant est très chaud, sa température ne descend pas.",fr fr fr fr fr fr fr fr fr fr,fr,fr-monolingual,health,Pediatric fever,no,,,,quiet,49.6,,3.10,"My child is very hot, their temperature is not going down."
fr_16,fr_16,audio/fr_16.wav,Ça me brûle beaucoup quand je vais aux toilettes pour uriner.,fr fr fr fr fr fr fr fr fr fr fr,fr,fr-monolingual,health,Painful urination,no,,,,quiet,49.8,,3.76,It burns a lot when I go to the bathroom to urinate.
fr_17,fr_17,audio/fr_17.wav,J'ai des vertiges et la tête qui tourne chaque fois que je me lève.,fr fr fr fr fr fr fr fr fr fr fr fr fr fr,fr,fr-monolingual,health,Dizziness,no,,,,quiet,37.6,,3.56,I have dizziness and my head spins every time I stand up.
fr_18,fr_18,audio/fr_18.wav,J'ai une douleur insupportable à la dent depuis deux jours.,fr fr fr fr fr fr fr fr fr fr,fr,fr-monolingual,health,Toothache,no,,,,quiet,44.0,,3.62,I have had an unbearable toothache for two days.
fr_19,fr_19,audio/fr_19.wav,J'ai des boutons partout sur le corps et ça gratte énormément.,fr fr fr fr fr fr fr fr fr fr fr,fr,fr-monolingual,health,Rash,no,,,,quiet,58.1,,3.98,I have spots all over my body and it itches incredibly.
fr_20,fr_20,audio/fr_20.wav,"J'ai très mal à la gorge, je n'arrive même plus à avaler ma salive.",fr fr fr fr fr fr fr fr fr fr fr fr fr fr,fr,fr-monolingual,health,Sore throat,no,,,,quiet,49.9,,4.20,"My throat hurts a lot, I can't even swallow my saliva anymore."
fr_21,fr_21,audio/fr_21.wav,Je me sens extrêmement fatigué et faible depuis quelques jours.,fr fr fr fr fr fr fr fr fr fr,fr,fr-monolingual,health,Fatigue,no,,,,quiet,54.5,,5.58,I feel extremely tired and weak for the past few days.
fr_22,fr_22,audio/fr_22.wav,"J'ai pris des comprimés contre la douleur, mais ça n'a rien changé.",fr fr fr fr fr fr fr fr fr fr fr fr,fr,fr-monolingual,health,Medical history,no,,,,quiet,50.3,,3.94,"I took some painkillers, but it didn't change anything."
fr_23,fr_23,audio/fr_23.wav,J'ai très mal à l'oreille gauche et j'entends un sifflement.,fr fr fr fr fr fr fr fr fr fr,fr,fr-monolingual,health,Earache,no,,,,quiet,34.8,,2.82,My left ear hurts a lot and I hear a ringing.
fr_24,fr_24,audio/fr_24.wav,Je suis tombé et ma cheville est enflée et douloureuse.,fr fr fr fr fr fr fr fr fr fr,fr,fr-monolingual,health,Injury,no,,,,quiet,40.9,,3.52,I fell and my ankle is swollen and painful.
fr_25,fr_25,audio/fr_25.wav,Mon cœur bat très fort et très vite sans aucune raison.,fr fr fr fr fr fr fr fr fr fr fr,fr,fr-monolingual,health,Palpitations,no,,,,quiet,57.8,,5.74,My heart is beating very hard and very fast for no reason.
